doi	figshare_id	file_name	download_url
10.6084/m9.figshare.5255386.v1	5255386	LICENSE.txt	https://ndownloader.figshare.com/files/8986366
10.6084/m9.figshare.5255386.v1	5255386	README-ar.txt	https://ndownloader.figshare.com/files/8986369
10.6084/m9.figshare.5255386.v1	5255386	2017-07-25-corpus_ar.zip	https://ndownloader.figshare.com/files/8986372
10.6084/m9.figshare.5255386.v1	5255386	2017-07-25-info.txt	https://ndownloader.figshare.com/files/8986378
10.6084/m9.figshare.5255323.v1	5255323	LICENSE.txt	https://ndownloader.figshare.com/files/8986174
10.6084/m9.figshare.5255323.v1	5255323	README-be.txt	https://ndownloader.figshare.com/files/8986177
10.6084/m9.figshare.5255323.v1	5255323	2017-07-25-corpus_be.zip	https://ndownloader.figshare.com/files/8986180
10.6084/m9.figshare.5255323.v1	5255323	2017-07-25-info.txt	https://ndownloader.figshare.com/files/8986183
10.6084/m9.figshare.5255365.v1	5255365	LICENSE.txt	https://ndownloader.figshare.com/files/8986276
10.6084/m9.figshare.5255365.v1	5255365	README-br.txt	https://ndownloader.figshare.com/files/8986279
10.6084/m9.figshare.5255365.v1	5255365	2017-07-25-corpus_br.zip	https://ndownloader.figshare.com/files/8986282
10.6084/m9.figshare.5255365.v1	5255365	2017-07-25-info.txt	https://ndownloader.figshare.com/files/8986297
10.6084/m9.figshare.5255368.v1	5255368	LICENSE.txt	https://ndownloader.figshare.com/files/8986300
10.6084/m9.figshare.5255368.v1	5255368	README-id.txt	https://ndownloader.figshare.com/files/8986303
10.6084/m9.figshare.5255368.v1	5255368	2017-07-25-corpus_id.zip	https://ndownloader.figshare.com/files/8986306
10.6084/m9.figshare.5255368.v1	5255368	2017-07-25-info.txt	https://ndownloader.figshare.com/files/8986309
10.6084/m9.figshare.5255359.v1	5255359	LICENSE.txt	https://ndownloader.figshare.com/files/8986264
10.6084/m9.figshare.5255359.v1	5255359	README-ra.txt	https://ndownloader.figshare.com/files/8986267
10.6084/m9.figshare.5255359.v1	5255359	2017-07-25-corpus_ra.zip	https://ndownloader.figshare.com/files/8986270
10.6084/m9.figshare.5255359.v1	5255359	2017-07-25-info.txt	https://ndownloader.figshare.com/files/8986273
10.6084/m9.figshare.5255395.v1	5255395	LICENSE.txt	https://ndownloader.figshare.com/files/8986393
10.6084/m9.figshare.5255395.v1	5255395	README-re.txt	https://ndownloader.figshare.com/files/8986396
10.6084/m9.figshare.5255395.v1	5255395	2017-07-25-corpus_re.zip	https://ndownloader.figshare.com/files/8986399
10.6084/m9.figshare.5255395.v1	5255395	2017-07-25-info.txt	https://ndownloader.figshare.com/files/8986402
10.6084/m9.figshare.5255215.v1	5255215	LICENSE.txt	https://ndownloader.figshare.com/files/8985943
10.6084/m9.figshare.5255215.v1	5255215	README-triplestore.txt	https://ndownloader.figshare.com/files/8985946
10.6084/m9.figshare.5255215.v1	5255215	2017-07-25-triplestore.zip	https://ndownloader.figshare.com/files/8985958
10.6084/m9.figshare.5255215.v1	5255215	2017-07-25-info.txt	https://ndownloader.figshare.com/files/8986171
